target_sut,rank,scenario_index,scenario_id,mode,predicted_score,collision_offline
SUT-C,101,102,scenario-0960ba07db29a03f,cutin_braking,0.07423976063728333,0
SUT-C,102,40,scenario-4c43b69c194879c3,fast_intrusion,0.07398129254579544,1
SUT-C,103,84,scenario-05cbbadcd693c29e,cutin_braking,0.07390239089727402,0
SUT-C,104,64,scenario-af0947c04f45c4e3,cutin_braking,0.07366213202476501,0
SUT-C,105,94,scenario-edf93fd35298ced1,cutin_braking,0.07357445359230042,0
SUT-C,106,88,scenario-c659b7906bc44c9f,cutin_braking,0.07327535003423691,0
SUT-C,107,100,scenario-9a4003ca1c7bde4b,cutin_braking,0.07326413691043854,0
SUT-C,108,76,scenario-5c51a52129f21a06,cutin_braking,0.07315637171268463,0
SUT-C,109,118,scenario-e6a04a57353f5b64,cutin_braking,0.07299338281154633,0
SUT-C,110,104,scenario-703edd2c006752b8,cutin_braking,0.07279985398054123,0
SUT-C,111,112,scenario-85f7b90d87046890,cutin_braking,0.07274306565523148,0
SUT-C,112,32,scenario-5842526b6d118be9,fast_intrusion,0.06363376975059509,0
SUT-C,113,0,scenario-469842c2c23d5d92,fast_intrusion,0.062484171241521835,1
SUT-C,114,191,scenario-a5374fc8d99cede9,lead_braking,0.061403900384902954,0
SUT-C,115,45,scenario-69dc22df81561b65,fast_intrusion,0.05692438781261444,0
SUT-C,116,57,scenario-8cc278e2f11e506d,fast_intrusion,0.056093327701091766,0
SUT-C,117,43,scenario-0cff04f4cb138f68,fast_intrusion,0.050412651151418686,0
SUT-C,118,3,scenario-5b40e94359f00aa4,fast_intrusion,0.048104237765073776,0
SUT-C,119,29,scenario-1510a1e2f2e40c72,fast_intrusion,0.04568742588162422,0
SUT-C,120,48,scenario-5cceeb05b909d4e9,fast_intrusion,0.044853877276182175,0
SUT-C,121,17,scenario-ce6429c68968a29c,fast_intrusion,0.04475230351090431,0
SUT-C,122,53,scenario-323ddf2694c0596c,fast_intrusion,0.043643247336149216,0
SUT-C,123,52,scenario-a58beaefee70f4c5,fast_intrusion,0.043521203100681305,0
SUT-C,124,33,scenario-d58af260e3aa4e49,fast_intrusion,0.04286934435367584,0
SUT-C,125,131,scenario-16d47cedaa3163a5,lead_braking,0.04268445819616318,0
SUT-C,126,9,scenario-63e9e44a0014b442,fast_intrusion,0.04181589186191559,0
SUT-C,127,34,scenario-3dfb78d9cf4e0e5c,fast_intrusion,0.04119905084371567,0
SUT-C,128,60,scenario-6db9e7fbfdfd638b,fast_intrusion,0.04051966592669487,0
SUT-C,129,30,scenario-6a51d720097ca006,fast_intrusion,0.04041890799999237,0
SUT-C,130,16,scenario-b305c05d6863a534,fast_intrusion,0.040122270584106445,0
SUT-C,131,20,scenario-dc4e3e4d799b5a72,fast_intrusion,0.0393417663872242,0
SUT-C,132,10,scenario-6ef86e3cdb856e4d,fast_intrusion,0.03924258425831795,0
SUT-C,133,54,scenario-05c63500740123be,fast_intrusion,0.03852572664618492,0
SUT-C,134,6,scenario-54c543bd7c8960ac,fast_intrusion,0.03803716599941254,0
SUT-C,135,46,scenario-c2ee1f14d428278f,fast_intrusion,0.03758449852466583,0
SUT-C,136,4,scenario-aa3fb599518353a5,fast_intrusion,0.03726537525653839,0
SUT-C,137,58,scenario-6936e9e25dadcf8d,fast_intrusion,0.0371665433049202,0
SUT-C,138,18,scenario-93c523ad6b5821bc,fast_intrusion,0.03710532188415527,0
SUT-C,139,36,scenario-fc6d83e62f6153b5,fast_intrusion,0.0367354154586792,0
SUT-C,140,14,scenario-6aeacb97ad00bdd8,fast_intrusion,0.03672753646969795,0
SUT-C,141,50,scenario-ca8a202931570bfd,fast_intrusion,0.036592092365026474,0
SUT-C,142,28,scenario-383478f978bc7c38,fast_intrusion,0.036443080753088,0
SUT-C,143,12,scenario-d832580f95921a9f,fast_intrusion,0.036275479942560196,0
SUT-C,144,38,scenario-bc7b31136daf6313,fast_intrusion,0.03621811792254448,0
SUT-C,145,44,scenario-da22bd23ad7f2864,fast_intrusion,0.036114808171987534,0
