method,budget,repeat,round,position,accepted_index,loss,candidate_evaluations,elapsed_seconds,event
Handcrafted-Similarity,10,0,2,4,-1,0.009817067273674644,2746,0.10906270000850782,no_change
Handcrafted-Similarity,10,0,2,5,-1,0.009817067273674644,2929,0.11595000000670552,no_change
Handcrafted-Similarity,10,0,2,6,-1,0.009817067273674644,3112,0.12267710000742227,no_change
Handcrafted-Similarity,10,0,2,7,-1,0.009817067273674644,3295,0.12976469998829998,no_change
Handcrafted-Similarity,10,0,2,8,-1,0.009817067273674644,3478,0.13648539999849163,no_change
Handcrafted-Similarity,10,0,2,9,-1,0.009817067273674644,3661,0.1435009999840986,no_change
Handcrafted-Similarity,10,0,3,0,-1,0.009817067273674644,3844,0.1504521000024397,no_change
Handcrafted-Similarity,10,0,3,1,-1,0.009817067273674644,4027,0.1574698000040371,no_change
Handcrafted-Similarity,10,0,3,2,-1,0.009817067273674644,4210,0.16427949999342673,no_change
Handcrafted-Similarity,10,0,3,3,-1,0.009817067273674644,4393,0.17090040000039153,no_change
Handcrafted-Similarity,10,0,3,4,-1,0.009817067273674644,4576,0.17790029998286627,no_change
Handcrafted-Similarity,10,0,3,5,-1,0.009817067273674644,4759,0.18452089998754673,no_change
Handcrafted-Similarity,10,0,3,6,-1,0.009817067273674644,4942,0.19138149998616427,no_change
Handcrafted-Similarity,10,0,3,7,-1,0.009817067273674644,5125,0.19818820001091808,no_change
Handcrafted-Similarity,10,0,3,8,-1,0.009817067273674644,5308,0.20495720001053996,no_change
Handcrafted-Similarity,10,0,3,9,-1,0.009817067273674644,5491,0.21234289999119937,no_change
FST-Similarity-H,10,0,0,-1,-1,0.01676204800605774,1,0.0,initial
FST-Similarity-H,10,0,1,0,105,0.0020614415407180786,184,0.1794934999779798,accepted
FST-Similarity-H,10,0,1,1,0,0.0017877891659736633,367,0.2444921999995131,accepted
FST-Similarity-H,10,0,1,2,79,0.0017799735069274902,550,0.29984749999130145,accepted
FST-Similarity-H,10,0,1,3,89,0.0017572790384292603,733,0.34310299999197014,accepted
FST-Similarity-H,10,0,1,4,119,0.0017512552440166473,916,0.3864000999892596,accepted
FST-Similarity-H,10,0,1,5,106,0.0014262944459915161,1099,0.4291821999941021,accepted
FST-Similarity-H,10,0,1,6,-1,0.0014262944459915161,1282,0.48921319999499246,no_change
FST-Similarity-H,10,0,1,7,60,0.0013646259903907776,1465,0.5590665999916382,accepted
FST-Similarity-H,10,0,1,8,113,0.0011871159076690674,1648,0.6080838000052609,accepted
FST-Similarity-H,10,0,1,9,177,0.001072704792022705,1831,0.6497893999912776,accepted
FST-Similarity-H,10,0,2,0,-1,0.001072704792022705,2014,0.6910495999909472,no_change
FST-Similarity-H,10,0,2,1,-1,0.001072704792022705,2197,0.7348103999975137,no_change
FST-Similarity-H,10,0,2,2,-1,0.001072704792022705,2380,0.7941294999909587,no_change
FST-Similarity-H,10,0,2,3,109,0.00092315673828125,2563,0.8691876999801025,accepted
FST-Similarity-H,10,0,2,4,-1,0.00092315673828125,2746,0.9222702999832109,no_change
FST-Similarity-H,10,0,2,5,-1,0.00092315673828125,2929,0.9642623999970965,no_change
FST-Similarity-H,10,0,2,6,-1,0.00092315673828125,3112,1.0053402000048663,no_change
FST-Similarity-H,10,0,2,7,-1,0.00092315673828125,3295,1.0647406999778468,no_change
FST-Similarity-H,10,0,2,8,-1,0.00092315673828125,3478,1.136600300000282,no_change
FST-Similarity-H,10,0,2,9,-1,0.00092315673828125,3661,1.1799791999801528,no_change
FST-Similarity-H,10,0,3,0,-1,0.00092315673828125,3844,1.2238017999916337,no_change
FST-Similarity-H,10,0,3,1,-1,0.00092315673828125,4027,1.2697378000011668,no_change
FST-Similarity-H,10,0,3,2,-1,0.00092315673828125,4210,1.3128464999899734,no_change
FST-Similarity-H,10,0,3,3,-1,0.00092315673828125,4393,1.3725151999969967,no_change
FST-Similarity-H,10,0,3,4,-1,0.00092315673828125,4576,1.4412677999935113,no_change
FST-Similarity-H,10,0,3,5,-1,0.00092315673828125,4759,1.4843300999782514,no_change
FST-Similarity-H,10,0,3,6,-1,0.00092315673828125,4942,1.5316411999810953,no_change
FST-Similarity-H,10,0,3,7,-1,0.00092315673828125,5125,1.5762132999952883,no_change
FST-Similarity-H,10,0,3,8,-1,0.00092315673828125,5308,1.6184209999919403,no_change
FST-Similarity-H,10,0,3,9,-1,0.00092315673828125,5491,1.6758769000007305,no_change
