budget,source_sut,identity_residual
5,SUT-A,7.132412100166463e-10
5,SUT-B,-7.384101637704799e-10
5,SUT-C,1.0761276362201977e-09
5,SUT-D,7.173187321907193e-10
10,SUT-A,-1.1791756091526773e-10
10,SUT-B,-6.110725391406807e-10
10,SUT-C,-6.287421104589352e-11
10,SUT-D,-1.0013824613269717e-09
20,SUT-A,-2.0175735561400732e-10
20,SUT-B,-1.2568133404659843e-10
20,SUT-C,1.5558725398269382e-09
20,SUT-D,9.337674500807525e-10
