task_id,method,repeat,budget,comparison_status,failure_count_before,failure_count_after,failure_count_delta,failure_pool_count_before,failure_pool_count_after
legacy_regression_seed4179801_merge_blind06,Random,0,20,compared,2.0,2.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,1,20,compared,1.0,1.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,2,20,compared,1.0,1.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,3,20,compared,2.0,2.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,4,20,compared,1.0,1.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,5,20,compared,2.0,2.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,6,20,compared,3.0,3.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,7,20,compared,3.0,3.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,8,20,compared,2.0,2.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,Random,9,20,compared,1.0,1.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,HistoryRank-UCB-v2,0,20,compared,7.0,7.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,FailureDistance-v2,0,20,compared,3.0,7.0,4.0,7,7
legacy_regression_seed4179801_merge_blind06,FBRT-NoMemory,0,20,compared,4.0,4.0,0.0,7,7
legacy_regression_seed4179801_merge_blind06,FBRT-Memory,0,20,compared,5.0,7.0,2.0,7,7
legacy_regression_seed4179801_merge_brake2,Random,0,20,compared,1.0,1.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,1,20,compared,0.0,0.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,2,20,compared,0.0,0.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,3,20,compared,2.0,2.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,4,20,compared,0.0,0.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,5,20,compared,0.0,0.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,6,20,compared,2.0,2.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,7,20,compared,1.0,1.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,8,20,compared,0.0,0.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,Random,9,20,compared,0.0,0.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,HistoryRank-UCB-v2,0,20,compared,4.0,4.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,FailureDistance-v2,0,20,compared,3.0,4.0,1.0,4,4
legacy_regression_seed4179801_merge_brake2,FBRT-NoMemory,0,20,compared,2.0,2.0,0.0,4,4
legacy_regression_seed4179801_merge_brake2,FBRT-Memory,0,20,compared,1.0,4.0,3.0,4,4
legacy_regression_seed4179801_slow_front_brake2,Random,0,20,compared,15.0,15.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,1,20,compared,13.0,13.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,2,20,compared,16.0,16.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,3,20,compared,12.0,12.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,4,20,compared,13.0,13.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,5,20,compared,10.0,10.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,6,20,compared,11.0,11.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,7,20,compared,10.0,10.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,8,20,compared,16.0,16.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,Random,9,20,compared,7.0,7.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,HistoryRank-UCB-v2,0,20,compared,18.0,18.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,FailureDistance-v2,0,20,compared,18.0,15.0,-3.0,65,65
legacy_regression_seed4179801_slow_front_brake2,FBRT-NoMemory,0,20,compared,19.0,19.0,0.0,65,65
legacy_regression_seed4179801_slow_front_brake2,FBRT-Memory,0,20,compared,19.0,19.0,0.0,65,65
legacy_regression_seed4179802_merge_blind06,Random,0,20,compared,1.0,1.0,0.0,12,12
legacy_regression_seed4179802_merge_blind06,Random,1,20,compared,1.0,1.0,0.0,12,12
legacy_regression_seed4179802_merge_blind06,Random,2,20,compared,1.0,1.0,0.0,12,12
legacy_regression_seed4179802_merge_blind06,Random,3,20,compared,2.0,2.0,0.0,12,12
legacy_regression_seed4179802_merge_blind06,Random,4,20,compared,2.0,2.0,0.0,12,12
legacy_regression_seed4179802_merge_blind06,Random,5,20,compared,4.0,4.0,0.0,12,12
legacy_regression_seed4179802_merge_blind06,Random,6,20,compared,2.0,2.0,0.0,12,12
legacy_regression_seed4179802_merge_blind06,Random,7,20,compared,4.0,4.0,0.0,12,12
