seed,method,query,index,mode,ego_collision,near_miss,background_collision,event,completed,min_ttc,min_clearance,response,selection_seconds,elapsed_seconds
20320405,HistoryMargin-Static,1,286,slow_lead_following,False,True,False,True,True,1.1505940951435178,1.0795157253699066,0.6703626759949073,0.0004841000773012638,0.5702684000134468
20320405,HistoryMargin-Static,2,247,stop_and_go,False,True,False,True,True,1.1901787244237816,1.1850399534334943,0.668129527000001,0.0005177999846637249,0.6059589999495074
20320405,HistoryMargin-Static,3,298,slow_lead_following,False,True,False,True,True,1.2358514566824375,1.2091865376047326,0.665589267869782,0.0007890000706538558,0.5765842000255361
20320405,HistoryMargin-Static,4,290,slow_lead_following,False,True,False,True,True,1.2877195855984296,1.5305472233538127,0.6627509398688972,0.000519299996085465,0.5852924000937492
20320405,HistoryMargin-Static,5,304,slow_lead_following,False,True,False,True,True,1.3006047223656945,1.640454369871742,0.6620534161828011,0.0005377000197768211,0.5646542999893427
20320405,HistoryMargin-Static,6,266,slow_lead_following,False,True,False,True,True,1.3501309750440145,1.3234260554884063,0.6594000786094248,0.0005228000227361917,0.5851878999965265
20320405,HistoryMargin-Static,7,19,fast_intrusion,False,True,False,True,True,0.5436471129454326,0.4666629196252452,0.7085638466998163,0.000534699996933341,0.5681106999982148
20320405,HistoryMargin-Static,8,112,cutin_braking,True,False,True,True,False,0.5430008186279485,0.024689529100293508,1.208608782749613,0.0005307999672368169,0.14002250006888062
20320405,HistoryMargin-Static,9,21,fast_intrusion,False,True,False,True,True,0.550668616617434,0.46647251803018297,0.7080762735666655,0.0006440000142902136,0.565911499899812
20320405,HistoryMargin-Static,10,183,lead_braking,False,False,False,False,True,1.788413477670454,1.7223927958069931,0.1377338351511471,0.0005547000328078866,0.5967861999524757
20320405,HistoryMargin-Static,11,13,fast_intrusion,False,True,False,True,True,0.5404132404954739,0.42303724757429007,0.7087887908774642,0.0006535999709740281,0.5782211000332609
20320405,HistoryMargin-Static,12,35,fast_intrusion,True,False,True,True,False,0.5693591857414501,0.037416055587448434,1.2067839488029892,0.0004752000095322728,0.14716429996769875
20320405,HistoryMargin-Static,13,318,slow_lead_following,False,False,False,False,True,1.6012639635774861,1.187958824573768,0.14659977627154555,0.0004889999981969595,0.5717860000440851
20320405,HistoryMargin-Static,14,227,stop_and_go,False,False,False,False,True,1.6219334717389948,1.4907368219094281,0.1455931994041354,0.0008765000384300947,0.5802200000034645
20320405,HistoryMargin-Static,15,37,fast_intrusion,False,True,False,True,True,0.777612662927651,1.3262386992914157,0.6929163541716344,0.0024088999489322305,0.5766071999678388
20320405,HistoryMargin-Static,16,88,cutin_braking,True,False,True,True,False,0.49715767854283405,0.00434208714074176,1.2118210239966523,0.0004931000294163823,0.15027189999818802
20320405,HistoryMargin-Static,17,268,slow_lead_following,False,False,False,False,True,1.7012334492677923,1.8524875559465408,0.14179510618949168,0.0005028999876230955,0.5924254999263212
20320405,HistoryMargin-Static,18,280,slow_lead_following,False,False,False,False,True,1.712409496968966,1.808759317003843,0.14126785261093877,0.000511299935169518,0.5831145999254659
20320405,HistoryMargin-Static,19,256,slow_lead_following,False,False,False,False,True,1.729340968596452,1.762735292962188,0.14047280738945128,0.00048719998449087143,0.582414900069125
20320405,HistoryMargin-Static,20,74,cutin_braking,False,True,False,True,True,0.4959148404580139,0.37316519924600766,0.7119087952549037,0.0005064000142738223,0.5634268999565393
20320405,HistoryMargin-Static,21,217,stop_and_go,False,False,False,False,True,1.7556909589962284,1.7715390447955717,0.13924439103794697,0.0005090000340715051,0.5520545999752358
20320405,HistoryMargin-Static,22,118,cutin_braking,False,True,False,True,True,0.5847340641645298,0.5333273228686272,0.70572690042411,0.000494800042361021,0.5743588000768796
20320405,HistoryMargin-Static,23,49,fast_intrusion,False,True,False,True,True,0.7245613690119808,1.1708721367876274,0.6963581841369102,0.000584400026127696,0.5663591999327764
20320405,HistoryMargin-Static,24,147,lead_braking,False,False,False,False,True,1.782865057490709,1.5181152114054106,0.1379888059227599,0.0005029999883845448,0.5585389999905601
20320405,HistoryMargin-Static,25,316,slow_lead_following,False,False,False,False,True,1.8615848305128462,1.8578480680374994,0.13441508226473897,0.0005066999001428485,0.5562042000237852
20320405,HistoryMargin-Static,26,25,fast_intrusion,False,True,False,True,True,0.7786496869437617,1.3172385619692302,0.6928496793987297,0.0005014999769628048,0.5625011000083759
20320405,HistoryMargin-Static,27,70,cutin_braking,False,True,False,True,True,0.8208958581412767,1.029186977802817,0.6901529912302449,0.0004924999084323645,0.5623452999861911
20320405,HistoryMargin-Static,28,27,fast_intrusion,True,False,True,True,False,0.5671149560673909,0.0,1.2069386969021596,0.000507500022649765,0.13907350006047636
20320405,HistoryMargin-Static,29,179,lead_braking,False,False,False,False,True,3.445133909432207,1.853721535147285,0.07928769513403204,0.0005002999678254128,0.5712594999931753
20320405,HistoryMargin-Static,30,229,stop_and_go,False,False,False,False,True,2.786445571178833,1.9474862254882266,0.09875536460990837,0.0005098000401630998,0.5795380000490695
20320405,HistoryMargin-Static,31,292,slow_lead_following,False,False,False,False,True,2.274692842044682,1.9288549692716164,0.11712362144164294,0.0005012000910937786,0.5590296000009403
20320405,HistoryMargin-Static,32,122,cutin_braking,True,False,True,True,False,0.4701813730520113,0.0,1.2137343296416812,0.0005064000142738223,0.1813458000542596
20320405,HistoryMargin-Static,33,288,slow_lead_following,False,False,False,False,True,2.246326958620819,1.8341624962527905,0.11823631189046206,0.0004959000507369637,0.5706454999744892
20320405,HistoryMargin-Static,34,94,cutin_braking,False,True,False,True,True,0.5900975199027703,0.5926307751015355,0.7053594266353597,0.0005244999192655087,0.6058067999547347
20320405,HistoryMargin-Static,35,96,cutin_braking,True,False,True,True,False,0.7429096784139283,0.01850383163756164,1.1951609023132805,0.0005067000165581703,0.12886870000511408
20320405,HistoryMargin-Static,36,296,slow_lead_following,False,False,False,False,True,2.384726251081196,1.9154735516006873,0.11290561085690792,0.000512199942022562,0.5592986999545246
20320405,HistoryMargin-Static,37,61,fast_intrusion,True,False,True,True,False,0.5860875653346708,0.1909542822710093,1.2056341041588419,0.0005102999275550246,0.1624627000419423
20320405,HistoryMargin-Static,38,205,stop_and_go,False,False,False,False,True,2.486636812374359,1.9581643000604159,0.10913459973863612,0.0005660000024363399,0.6455834000371397
20320405,HistoryMargin-Static,39,51,fast_intrusion,True,False,True,True,False,0.6368478986651974,0.03136091720381872,1.2021840224612415,0.0005148999625816941,0.15384519996587187
20320405,HistoryMargin-Static,40,82,cutin_braking,True,False,True,True,False,0.5362464391657766,0.0,1.2090789861656488,0.0005090000340715051,0.19769379997160286
20320405,HistoryMargin-Static,41,282,slow_lead_following,False,False,False,False,True,2.513065933281405,1.78515634844074,0.1081773785049397,0.0005240000318735838,0.5759490999625996
20320405,HistoryMargin-Static,42,106,cutin_braking,False,True,False,True,True,0.8355580873635968,0.7294288643926069,0.6892259030240618,0.0005444999551400542,0.6387757000047714
20320405,HistoryMargin-Static,43,187,lead_braking,False,False,False,False,True,3.0748594967981457,1.847267541918311,0.08970331745421548,0.0008814000757411122,0.5774039999814704
20320405,HistoryMargin-Static,44,233,stop_and_go,False,False,False,False,True,2.8455571090640084,1.9366615714323034,0.09682854929258837,0.0005511000053957105,0.5770823999773711
20320405,HistoryMargin-Static,45,201,stop_and_go,False,False,False,False,True,3.6676052219409074,1.9430562638514546,0.07362067111790421,0.0005138000706210732,0.5649967000354081
20320405,HistoryMargin-Static,46,129,lead_braking,False,False,False,False,True,4.198931805126473,1.9735899653924092,0.06167119602827285,0.0008140999125316739,0.6343678999692202
